Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
365928,Minor injury,2019,July,Thursday,16,Rear-end,Multi-Vehicle,153.035525032931,-27.4710904460182,Main St,Thornton St,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,302.0,Veh'S Same Direction: Left Rear,Rear-end,E,0,0,0,1,1,2,0,0,0,0,0,0
365929,Medical treatment,2019,July,Thursday,19,Rear-end,Multi-Vehicle,153.025857529483,-27.4828658161406,Vulture St,Unknown,,South Brisbane,Brisbane City,4101,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,E,0,0,2,0,2,3,0,0,0,0,0,0
365930,Medical treatment,2019,July,Friday,18,Rear-end,Multi-Vehicle,153.039983029982,-27.4906544466205,Logan Rd,Unknown,,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,W,0,0,1,0,1,2,0,0,0,0,0,0
365931,Medical treatment,2019,July,Saturday,11,Rear-end,Multi-Vehicle,153.035622030547,-27.4898894461765,Balaclava St,Ipswich Rd,,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,,0,0,1,0,1,1,0,1,0,0,0,0
365932,Medical treatment,2019,July,Sunday,23,Head-on,Multi-Vehicle,153.035663032245,-27.4764104460741,Main St,River Tce,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,303.0,Veh'S Same Direction: Right Rear,Rear-end,S,0,0,1,1,2,2,0,0,0,0,0,0
365933,Medical treatment,2019,July,Monday,18,Rear-end,Multi-Vehicle,153.044172030428,-27.4835624469853,Mowbray Tce,Rosslyn St,,East Brisbane,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,East Brisbane,Brisbane Inner - East,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,303.0,Veh'S Same Direction: Right Rear,Rear-end,W,0,0,1,0,1,2,0,0,0,0,0,0
365934,Medical treatment,2019,July,Wednesday,6,Hit pedestrian,Hit pedestrian,153.020018033448,-27.4801824445333,Ernest St,Merivale St,,South Brisbane,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,Operating traffic lights,0 - 50 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,3.0,Ped'N: Far Side Vehicle Hit From Left,Pedestrian,E,0,0,1,0,1,1,0,0,0,0,1,0
365935,Medical treatment,2019,July,Wednesday,5,Angle,Multi-Vehicle,153.04014803068,-27.4849904465923,Wellington Rd,Unknown,,East Brisbane,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Dawn/Dusk,Curved - view open,Level,109.0,Veh'S Adjacent Approach: Left-Left,Intersection from adjacent approaches,E,0,0,1,0,1,2,0,0,0,0,0,0
365936,Minor injury,2019,July,Wednesday,8,Rear-end,Multi-Vehicle,153.035660032003,-27.478330446089,Main St,Unknown,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,301.0,Veh'S Same Direction: Rear End,Rear-end,N,0,0,0,2,2,2,0,0,0,0,0,0
365937,Medical treatment,2019,August,Sunday,13,Rear-end,Multi-Vehicle,153.035663032245,-27.4764104460741,Main St,River Tce,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,Operating traffic lights,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,S,0,0,1,0,1,1,0,0,1,0,0,0
365938,Minor injury,2019,August,Tuesday,16,Angle,Multi-Vehicle,153.01916403346,-27.4808174444526,Cordelia St,Ernest St,,South Brisbane,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,S,0,0,0,1,1,2,0,0,0,0,0,0
365939,Medical treatment,2019,August,Wednesday,18,Fall from vehicle,Single Vehicle,153.033851032005,-27.4798464459193,River Tce,Unknown,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Darkness - Lighted,Straight,Level,601.0,Veh'S On Path: Parked,Hit parked vehicle,S,0,0,1,0,1,1,1,0,0,0,0,0
365940,Medical treatment,2019,August,Friday,6,Angle,Multi-Vehicle,153.03580803162,-27.4812394461268,Baines St,Main St,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,104.0,Veh'S Adjacent Approach: Thru-Right,Intersection from adjacent approaches,S,0,0,1,0,1,2,0,0,0,0,0,0
365941,Medical treatment,2019,August,Saturday,11,Rear-end,Multi-Vehicle,153.032880031575,-27.4840844458553,Leopard St,Unknown,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,E,0,0,1,0,1,2,0,0,0,0,0,0
365942,Medical treatment,2019,August,Monday,17,Rear-end,Multi-Vehicle,153.019226032181,-27.4909004445385,Ampthill St,Gladstone Rd,,Highgate Hill,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,Highgate Hill,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,303.0,Veh'S Same Direction: Right Rear,Rear-end,N,0,0,1,0,1,2,0,0,0,0,0,0
365943,Minor injury,2019,August,Monday,17,Angle,Multi-Vehicle,153.044425029859,-27.4878524470446,Longlands St,Stanley St East,,East Brisbane,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,East Brisbane,Brisbane Inner - East,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Crest,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,S,0,0,0,1,1,2,0,0,0,0,0,0
365944,Minor injury,2019,August,Tuesday,15,Rear-end,Multi-Vehicle,153.039432029127,-27.4978964466224,South East Arterial Rd,Unknown,South-East Arterial Road (Pacific Motorway),Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,E,0,0,0,1,1,1,1,0,0,0,0,0
365945,Medical treatment,2019,August,Tuesday,17,Rear-end,Multi-Vehicle,153.032880031581,-27.4840324458549,Vulture St,Unknown,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,E,0,0,1,0,1,2,1,0,0,0,0,0
365946,Medical treatment,2019,August,Thursday,16,Rear-end,Multi-Vehicle,153.037824029595,-27.4955554464424,South East Arterial Rd,Unknown,South-East Arterial Road (Pacific Motorway),Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,E,0,0,1,0,1,3,0,0,0,0,0,0
365947,Hospitalisation,2019,August,Thursday,8,Head-on,Multi-Vehicle,153.020018033448,-27.4801824445333,Ernest St,Merivale St,,South Brisbane,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,Operating traffic lights,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202.0,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,N,0,1,1,1,3,2,0,0,0,0,0,0
365948,Medical treatment,2019,August,Saturday,18,Rear-end,Multi-Vehicle,153.035695033509,-27.4663684459979,Bradfield Hwy,Unknown,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Bridge/Causeway,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Grade,301.0,Veh'S Same Direction: Rear End,Rear-end,N,0,0,1,0,1,4,0,0,0,0,0,0
365949,Hospitalisation,2019,August,Monday,12,Angle,Multi-Vehicle,153.044040030975,-27.4793484469387,Latrobe St,Lytton Rd,,East Brisbane,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,East Brisbane,Brisbane Inner - East,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202.0,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,E,0,2,0,0,2,2,0,0,0,0,0,0
365950,Medical treatment,2019,August,Monday,13,Fall from vehicle,Single Vehicle,153.032841031714,-27.4830138128429,Leopard St,Unknown,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Crest,901.0,Pass & Misc: Fell In/From Vehicle,Other,S,0,0,1,0,1,0,1,0,0,0,0,0
365951,Hospitalisation,2019,August,Tuesday,19,Angle,Multi-Vehicle,153.021945033373,-27.4791414447184,Ernest St,Grey St,,South Brisbane,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Roundabout,Give way sign,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,102.0,Veh'S Adjacent Approach: Right-Thru,Intersection from adjacent approaches,S,0,1,0,0,1,1,0,0,0,1,0,0
365952,Medical treatment,2019,August,Wednesday,14,Rear-end,Multi-Vehicle,153.035435029294,-27.4999724462374,Ipswich Rd,Tottenham St,,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,Stop sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,302.0,Veh'S Same Direction: Left Rear,Rear-end,W,0,0,1,0,1,1,1,0,0,0,0,0
365953,Hospitalisation,2019,August,Wednesday,18,Rear-end,Multi-Vehicle,153.030428241072,-27.4822265485944,South East Arterial Rd,Unknown,South-East Arterial Road (Pacific Motorway),Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,S,0,3,1,0,4,2,0,0,0,0,0,0
365954,Medical treatment,2019,August,Thursday,9,Angle,Multi-Vehicle,153.034708030055,-27.4945644461217,Ipswich Rd,Reis St,,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,309.0,Veh'S Same Direction: Left Turn S/Swipe,Parallel lanes turning,S,0,0,2,0,2,3,0,0,0,0,0,0
365955,Medical treatment,2019,August,Friday,18,Sideswipe,Multi-Vehicle,153.015739034461,-27.4757944440692,Cordelia St,Unknown,,South Brisbane,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,305.0,Veh'S Same Direction: Lane Side Swipe,Lane changes,W,0,0,1,0,1,2,0,0,0,0,0,0
365956,Medical treatment,2019,August,Thursday,8,Rear-end,Multi-Vehicle,153.034660030181,-27.4936064461093,Ipswich Rd,Unknown,,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,S,0,0,1,0,1,2,0,0,0,0,0,0
365957,Hospitalisation,2019,August,Friday,9,Rear-end,Multi-Vehicle,153.03928374812,-27.4901631805464,Logan Rd,Unknown,,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,303.0,Veh'S Same Direction: Right Rear,Rear-end,,0,1,0,0,1,2,0,0,0,0,0,0
365958,Minor injury,2019,August,Friday,18,Rear-end,Multi-Vehicle,153.035528499176,-27.492909133191,South East Arterial Rd,Unknown,South-East Arterial Road (Pacific Motorway),Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,U,0,0,0,1,1,2,0,0,0,0,0,0
365959,Hospitalisation,2019,September,Tuesday,7,Rear-end,Multi-Vehicle,153.039655028653,-27.501459446673,Pacific Hwy,Unknown,South-East Arterial Road (Pacific Motorway),Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,N,0,1,0,0,1,1,1,0,0,0,0,0
365960,Minor injury,2019,September,Tuesday,17,Angle,Multi-Vehicle,153.040386314903,-27.4909372066633,Logan Rd,Unknown,,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Dawn/Dusk,Curved - view open,Level,400.0,Veh'S Manoeuvring: Other,Other,,0,0,0,1,1,1,0,0,0,1,0,0
365961,Medical treatment,2019,September,Tuesday,20,Rear-end,Multi-Vehicle,153.035820031566,-27.4816564461313,Main St,Unknown,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,N,0,0,1,0,1,2,0,0,0,0,0,0
365962,Medical treatment,2019,September,Tuesday,18,Sideswipe,Multi-Vehicle,153.036051851694,-27.4883663952076,Ipswich Rd,Unknown,,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,306.0,Veh'S Same Direction: Lane Change Right,Lane changes,S,0,0,1,0,1,2,0,0,0,0,0,0
365963,Hospitalisation,2019,September,Wednesday,6,Rear-end,Multi-Vehicle,153.040382030768,-27.4840944466088,Cairns St,Wellington Rd,,East Brisbane,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,East Brisbane,Brisbane Inner - East,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,302.0,Veh'S Same Direction: Left Rear,Rear-end,S,0,1,0,0,1,1,1,0,0,0,0,0
365964,Medical treatment,2019,September,Saturday,15,Sideswipe,Multi-Vehicle,153.021390033389,-27.4794814446654,Ernest St,Unknown,,South Brisbane,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,308.0,Veh'S Same Direction: Right Turn S/Swipe,Parallel lanes turning,S,0,0,2,0,2,1,1,0,0,0,0,0
365965,Medical treatment,2019,September,Saturday,13,Rear-end,Multi-Vehicle,153.035663032245,-27.4764104460741,Main St,River Tce,,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,S,0,0,1,0,1,2,0,0,0,0,0,0
365966,Minor injury,2019,September,Sunday,12,Rear-end,Multi-Vehicle,153.032418031384,-27.4859864458239,Leopard St,South East Arterial Rd,South-East Arterial Road (Pacific Motorway),Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,302.0,Veh'S Same Direction: Left Rear,Rear-end,W,0,0,0,1,1,1,1,0,0,0,0,0
365967,Hospitalisation,2019,September,Monday,9,Rear-end,Multi-Vehicle,153.039490028643,-27.5016794466582,Pacific Hwy,Unknown,South-East Arterial Road (Pacific Motorway),Greenslopes,Brisbane City,4120,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,E,0,1,0,0,1,2,0,0,0,0,0,0
365968,Medical treatment,2019,September,Monday,10,Rear-end,Multi-Vehicle,153.031116031641,-27.4850594456859,Pacific Hwy,South East Arterial Rd,South-East Arterial Road (Pacific Motorway),Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,State-controlled,Merge Lane,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,N,0,0,1,0,1,3,0,0,0,0,0,0
365969,Medical treatment,2019,September,Tuesday,11,Rear-end,Multi-Vehicle,153.02622103242,-27.4830504451786,Dock St,Graham St,,South Brisbane,Brisbane City,4101,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,Operating traffic lights,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,E,0,0,1,0,1,1,0,1,0,0,0,0
365970,Hospitalisation,2019,September,Wednesday,10,Fall from vehicle,Single Vehicle,153.03594474063,-27.4889583602016,Ipswich Rd,Unknown,,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Crest,705.0,Off Path-Straight:Out Of Control On Cway,Out of control on straight,S,0,1,0,0,1,1,1,0,0,0,0,0
365971,Hospitalisation,2019,September,Wednesday,16,Angle,Multi-Vehicle,153.042272028838,-27.4977684469067,Logan Rd,O'Keefe St,,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Roundabout,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,104.0,Veh'S Adjacent Approach: Thru-Right,Intersection from adjacent approaches,E,0,1,0,0,1,1,0,0,0,1,0,0
365972,Medical treatment,2019,September,Friday,11,Angle,Multi-Vehicle,153.045426029731,-27.4880184471465,Norman St,Stanley St East,,East Brisbane,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,East Brisbane,Brisbane Inner - East,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,308.0,Veh'S Same Direction: Right Turn S/Swipe,Parallel lanes turning,W,0,0,1,0,1,1,0,0,0,0,0,0
365973,Minor injury,2019,September,Sunday,3,Hit parked vehicle,Single Vehicle,153.037988496182,-27.4986845994837,Carl St,Unknown,,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,601.0,Veh'S On Path: Parked,Hit parked vehicle,N,0,0,0,1,1,3,0,0,0,0,0,0
365974,Hospitalisation,2019,September,Monday,12,Angle,Multi-Vehicle,153.01886303379,-27.4784554444037,Glenelg St,Merivale St,,South Brisbane,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,308.0,Veh'S Same Direction: Right Turn S/Swipe,Parallel lanes turning,E,0,1,0,0,1,1,0,0,1,0,0,0
